id,sku,shared.feature-1-card,shared.feature-2-card,shared.feature-3-card,shared.feature-4-card,shared.feature-5-card,shared.feature-6-card,shared.feature-7-card,shared.feature-8-card,shared.feature-9-card,shared.feature-10-card,shared.option-1-card,shared.option-2-card,shared.option-3-card,shared.option-4-card,shared.option-5-card,shared.option-6-card,shared.option-7-card,shared.option-8-card,shared.option-9-card,shared.option-10-card,shared.option-11-card,shared.option-12-card,shared.spec-table,shared.cargo-option-1-card,shared.cargo-option-2-card,shared.cargo-option-3-card,shared.cargo-option-4-card,shared.cargo-option-5-card,shared.cargo-option-6-card,shared.cargo-option-7-card,shared.cargo-option-8-card,shared.cargo-option-9-card,shared.cargo-option-10-card,shared.cargo-option-11-card,shared.cargo-option-12-card,shared.weather-option-1-card,shared.weather-option-2-card,shared.weather-option-3-card,shared.weather-option-4-card,shared.weather-option-5-card,shared.weather-option-6-card,shared.weather-option-7-card,shared.weather-option-8-card,shared.weather-option-9-card,shared.weather-option-10-card,shared.weather-option-11-card,shared.weather-option-12-card
528,F01451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,F01440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,F01438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,F01436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,F01436.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,F01316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,F01315,"<!-- ==============================================
     OPTIONS SECTION: FEATURE CARDS (INLINE‐ONLY CSS)
     Place this directly beneath your Options heading
     and above the footer within the same container 
     BigCommerce uses for “Options” on a product page.
============================================== -->
<div style=""width: 100%; box-sizing: border-box; padding: 0 15px; margin-top: 30px;"">

  <!-- Outer flex container: two-column on desktop, wraps to single-column below ~580px -->
  <div style=""display: flex; flex-wrap: wrap; margin: -10px;"">

    <!-- ==============================
         CARD #1: Integrated Pinion MGU E1.12
         ============================== -->
    <div style=""
        background: #ffffff;
        border: 1px solid #e0e0e0;
        border-radius: 10px;
        box-shadow: 0px 4px 12px rgba(0, 0, 0, 0.1);
        margin: 10px;
        flex: 1 1 280px;        /* allow growth/shrink, base 280px */
        min-width: 280px;       /* never shrink below 280px */
        max-width: calc(50% - 20px); /* up to half-width minus margins */
        display: flex;
        flex-direction: column;
        overflow: hidden;
        box-sizing: border-box;
      "">
      
      <!-- Header -->
      <div style=""
          background: #f2f2f2;
          padding: 15px;
          text-align: center;
          border-bottom: 1px solid #e0e0e0;
        "">
        <h2 style=""
            font-family: Arial, sans-serif;
            font-size: 1.6rem;
            font-weight: 600;
            color: #2a2a2a;
            margin: 0;
          "">
          Integrated Pinion MGU E1.12
        </h2>
      </div>

      <!-- Body (image + text) -->
      <div style=""
          display: flex;
          flex-wrap: wrap;
          align-items: flex-start;
          padding: 15px;
          gap: 15px;
        "">
        
        <!-- Image Column -->
        <div style=""
            flex: 1 1 240px;      /* base 240px to force wrap below ~495px */
            min-width: 240px;     /* never shrink below 240px */
            display: flex;
            justify-content: center;
            align-items: center;
          "">
        </div>
        <div class=""se-component se-image-container __se__float-none"" style=""width: 100%;"">
          <figure style=""width: 100%;"">
            <img src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/my2025-delite5-pinion-hlf-modul-1.jpg-720x405-q90-crop-subsampling-2-upscale-1-.jpg?t=1748707736"" alt=""Pinion MGU Motor Gearbox"" style=""
                   width: 100%;
                   height: auto;
                   max-height: 320px;
                   object-fit: contain;
                   border-radius: 6px;
                 "" data-proportion=""true"" data-percentage=""100%,auto"" width=""100%"" height=""auto"" data-size=""100%,auto"" data-align=""none"" data-index=""0"" data-file-name=""delite5-pinion-mgu.jpg"" data-file-size=""0"" data-origin=""100%,auto"" origin-size=""320,180"">
          </figure>
        </div>

        <!-- Text Column -->
        <div style=""
            flex: 1 1 240px;      /* same base for consistent wrap point */
            min-width: 240px;
            display: flex;
            flex-direction: column;
            justify-content: center;
            text-align: left;
          "">
          <h3 style=""
              font-family: Arial, sans-serif;
              font-size: 1.3rem;
              font-weight: 500;
              color: #232323;
              margin: 0 0 0.6rem 0;
            "">
            Power &amp; Precision
          </h3>
          <p style=""
              font-family: Arial, sans-serif;
              font-size: 1rem;
              line-height: 1.6;
              color: #4a4a4a;
              margin: 0;
            "">
            The Pinion MGU E1.12 combines an 85 Nm mid-mounted motor with a sealed 12-speed gearbox for smooth, responsive performance and minimal maintenance. Enjoy instant shifting, precise gear changes, and unparalleled reliability on every ride.
          </p>
        </div>

      </div>
    </div>

    <!-- ==============================
         CARD #2: Control Technology & Comfort
         ============================== -->
    <div style=""
        background: #ffffff;
        border: 1px solid #e0e0e0;
        border-radius: 10px;
        box-shadow: 0px 4px 12px rgba(0, 0, 0, 0.1);
        margin: 10px;
        flex: 1 1 280px;
        min-width: 280px;
        max-width: calc(50% - 20px);
        display: flex;
        flex-direction: column;
        overflow: hidden;
        box-sizing: border-box;
      "">
      
      <!-- Header -->
      <div style=""
          background: #f2f2f2;
          padding: 15px;
          text-align: center;
          border-bottom: 1px solid #e0e0e0;
        "">
        <h2 style=""
            font-family: Arial, sans-serif;
            font-size: 1.6rem;
            font-weight: 600;
            color: #2a2a2a;
            margin: 0;
          "">
          Control Technology &amp; Comfort
        </h2>
      </div>

      <!-- Body -->
      <div style=""
          display: flex;
          flex-wrap: wrap;
          align-items: flex-start;
          padding: 15px;
          gap: 15px;
        "">
        
        <!-- Image Column -->
        <div style=""
            flex: 1 1 240px;
            min-width: 240px;
            display: flex;
            justify-content: center;
            align-items: center;
          "">
        </div>
        <div class=""se-component se-image-container __se__float-none"" style=""width: 100%;"">
          <figure style=""width: 100%;"">
            <img src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/my2025-delite5-pinion-hlf-modul-2-1-.jpg"" alt=""Full Suspension and Control Technology"" style=""
                   width: 100%;
                   height: auto;
                   max-height: 320px;
                   object-fit: contain;
                   border-radius: 6px;
                 "" data-proportion=""true"" data-percentage=""100%,auto"" width=""100%"" height=""auto"" data-size=""100%,auto"" data-align=""none"" data-index=""1"" data-file-name=""delite5-suspension.jpg"" data-file-size=""0"" data-origin=""100%,auto"" origin-size=""320,180"">
          </figure>
        </div>

        <!-- Text Column -->
        <div style=""
            flex: 1 1 240px;
            min-width: 240px;
            display: flex;
            flex-direction: column;
            justify-content: center;
            text-align: left;
          "">
          <h3 style=""
              font-family: Arial, sans-serif;
              font-size: 1.3rem;
              font-weight: 500;
              color: #232323;
              margin: 0 0 0.6rem 0;
            "">
            Ultimate Stability
          </h3>
          <p style=""
              font-family: Arial, sans-serif;
              font-size: 1rem;
              line-height: 1.6;
              color: #4a4a4a;
              margin: 0;
            "">
            Featuring a Fox AWL 34 fork (120 mm travel), Fox Float Rhythm shock (110 mm travel), and a co-sprung rear rack, the Delite5 delivers unmatched comfort and stability across all terrains.
          </p>
        </div>

      </div>
    </div>

    <!-- ==============================
         CARD #3: High-Capacity Battery & Long Range
         ============================== -->
    <div style=""
        background: #ffffff;
        border: 1px solid #e0e0e0;
        border-radius: 10px;
        box-shadow: 0px 4px 12px rgba(0, 0, 0, 0.1);
        margin: 10px;
        flex: 1 1 280px;
        min-width: 280px;
        max-width: calc(50% - 20px);
        display: flex;
        flex-direction: column;
        overflow: hidden;
        box-sizing: border-box;
      "">
      
      <!-- Header -->
      <div style=""
          background: #f2f2f2;
          padding: 15px;
          text-align: center;
          border-bottom: 1px solid #e0e0e0;
        "">
        <h2 style=""
            font-family: Arial, sans-serif;
            font-size: 1.6rem;
            font-weight: 600;
            color: #2a2a2a;
            margin: 0;
          "">
          High-Capacity Battery &amp; Long Range
        </h2>
      </div>

      <!-- Body -->
      <div style=""
          display: flex;
          flex-wrap: wrap;
          align-items: flex-start;
          padding: 15px;
          gap: 15px;
        "">
        
        <!-- Image Column -->
        <div style=""
            flex: 1 1 240px;
            min-width: 240px;
            display: flex;
            justify-content: center;
            align-items: center;
          "">
        </div>
        <div class=""se-component se-image-container __se__float-none"" style=""width: 100%;"">
          <figure style=""width: 100%;"">
            <img src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/superdelite5-dual-battery.jpg?t=1740235887"" alt=""800Wh TubePack Battery"" style=""
                   width: 100%;
                   height: auto;
                   max-height: 320px;
                   object-fit: contain;
                   border-radius: 6px;
                 "" data-proportion=""true"" data-percentage=""100%,auto"" width=""100%"" height=""auto"" data-size=""100%,auto"" data-align=""none"" data-index=""2"" data-file-name=""delite5-battery.jpg"" data-file-size=""0"" data-origin=""100%,auto"" origin-size=""1600,1067"">
          </figure>
        </div>

        <!-- Text Column -->
        <div style=""
            flex: 1 1 240px;
            min-width: 240px;
            display: flex;
            flex-direction: column;
            justify-content: center;
            text-align: left;
          "">
          <h3 style=""
              font-family: Arial, sans-serif;
              font-size: 1.3rem;
              font-weight: 500;
              color: #232323;
              margin: 0 0 0.6rem 0;
            "">
            Ride Further
          </h3>
          <p style=""
              font-family: Arial, sans-serif;
              font-size: 1rem;
              line-height: 1.6;
              color: #4a4a4a;
              margin: 0;
            "">
            With a removable 800 Wh TubePack battery (up to 100 miles in Eco mode) and optional dual-battery setup (up to 160 miles), the Delite5 ensures you’ll never worry about running out of power.
          </p>
        </div>

      </div>
    </div>

    <!-- ==============================
         CARD #4: Durable Belt Drive & Low Maintenance
         ============================== -->
    <div style=""
        background: #ffffff;
        border: 1px solid #e0e0e0;
        border-radius: 10px;
        box-shadow: 0px 4px 12px rgba(0, 0, 0, 0.1);
        margin: 10px;
        flex: 1 1 280px;
        min-width: 280px;
        max-width: calc(50% - 20px);
        display: flex;
        flex-direction: column;
        overflow: hidden;
        box-sizing: border-box;
      "">
      
      <!-- Header -->
      <div style=""
          background: #f2f2f2;
          padding: 15px;
          text-align: center;
          border-bottom: 1px solid #e0e0e0;
        "">
        <h2 style=""
            font-family: Arial, sans-serif;
            font-size: 1.6rem;
            font-weight: 600;
            color: #2a2a2a;
            margin: 0;
          "">
          Durable Belt Drive &amp; Low Maintenance
        </h2>
      </div>

      <!-- Body -->
      <div style=""
          display: flex;
          flex-wrap: wrap;
          align-items: flex-start;
          padding: 15px;
          gap: 15px;
        "">
        
        <!-- Image Column -->
        <div style=""
            flex: 1 1 240px;
            min-width: 240px;
            display: flex;
            justify-content: center;
            align-items: center;
          "">
        </div>
        <div class=""se-component se-image-container __se__float-none"" style=""width: 100%;"">
          <figure style=""width: 100%;"">
            <img src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/my2025-delite5-pinion-vollausgestattet-1600x1067.jpg-720x540-q90-crop-subsampling-2-upscale-1-.jpg"" alt=""Gates Carbon Belt Drive"" style=""
                   width: 100%;
                   height: auto;
                   max-height: 320px;
                   object-fit: contain;
                   border-radius: 6px;
                 "" data-proportion=""true"" data-percentage=""100%,auto"" width=""100%"" height=""auto"" data-size=""100%,auto"" data-align=""none"" data-index=""3"" data-file-name=""delite5-belt-drive.jpg"" data-file-size=""0"" data-origin=""100%,auto"">
          </figure>
        </div>

        <!-- Text Column -->
        <div style=""
            flex: 1 1 240px;
            min-width: 240px;
            display: flex;
            flex-direction: column;
            justify-content: center;
            text-align: left;
          "">
          <h3 style=""
              font-family: Arial, sans-serif;
              font-size: 1.3rem;
              font-weight: 500;
              color: #232323;
              margin: 0 0 0.6rem 0;
            "">
            Clean &amp; Reliable
          </h3>
          <p style=""
              font-family: Arial, sans-serif;
              font-size: 1rem;
              line-height: 1.6;
              color: #4a4a4a;
              margin: 0;
            "">
            The Gates Carbon Belt Drive and sealed Pinion gearbox deliver nearly maintenance-free performance for up to 10,000 km. Enjoy quiet, durable, and hassle-free riding in any conditions.
          </p>
        </div>

      </div>
    </div>

  </div>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,F01357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,F01356_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,F01355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
